message_id,src_rank,dst_rank,size_bytes,size_mb,collective_type,start_time_ms,end_time_ms,duration_ms,stage,layer_id,pipeline_stage_src,pipeline_stage_dst,dp_group_src,dp_group_dst,participating_ranks
ar_l5_tp48_49_50_51,48,-1,100663296,100.663296,all_reduce,16.79180989247282,19.608630031370176,2.8168201388973566,tp_all_reduce,5,0,-1,3,-1,"48,49,50,51"
ar_l6_tp48_49_50_51,48,-1,100663296,100.663296,all_reduce,20.255667733219898,23.07101003255385,2.815342299333952,tp_all_reduce,6,0,-1,3,-1,"48,49,50,51"
ar_l7_tp48_49_50_51,48,-1,100663296,100.663296,all_reduce,23.408567872104186,26.22360128115026,2.8150334090460727,tp_all_reduce,7,0,-1,3,-1,"48,49,50,51"
p2p_fwd_mb0_s0_dp0,0,4,67108864,67.108864,p2p,26.66073961815437,27.91108715990016,1.2503475417457894,pp_forward,0,0,1,0,0,"0,4"
p2p_fwd_mb0_s0_dp1,16,20,67108864,67.108864,p2p,26.66073961815437,27.91108715990016,1.2503475417457894,pp_forward,0,0,1,1,1,"16,20"
p2p_fwd_mb0_s0_dp2,32,36,67108864,67.108864,p2p,26.66073961815437,27.91108715990016,1.2503475417457894,pp_forward,0,0,1,2,2,"32,36"
p2p_fwd_mb0_s0_dp3,48,52,67108864,67.108864,p2p,26.66073961815437,27.91108715990016,1.2503475417457894,pp_forward,0,0,1,3,3,"48,52"
ar_l8_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,27.91108715990016,30.726481720093325,2.815394560193165,tp_all_reduce,8,1,-1,0,-1,"4,5,6,7"
ar_l9_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,31.33270474409916,34.14637576270271,2.8136710186035527,tp_all_reduce,9,1,-1,0,-1,"4,5,6,7"
ar_l10_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,34.55803477390818,37.37091001515182,2.8128752412436424,tp_all_reduce,10,1,-1,0,-1,"4,5,6,7"
ar_l11_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,38.018808498536096,40.834840016061534,2.8160315175254356,tp_all_reduce,11,1,-1,0,-1,"4,5,6,7"
ar_l12_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,41.26365809618111,44.07999355586674,2.816335459685626,tp_all_reduce,12,1,-1,0,-1,"4,5,6,7"
ar_l13_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,44.72697505197817,47.54532706367448,2.818352011696307,tp_all_reduce,13,1,-1,0,-1,"4,5,6,7"
ar_l14_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,48.0590534325489,50.87578271857833,2.816729286029433,tp_all_reduce,14,1,-1,0,-1,"4,5,6,7"
ar_l15_tp4_5_6_7,4,-1,100663296,100.663296,all_reduce,51.46047752110143,54.27330275420649,2.812825233105061,tp_all_reduce,15,1,-1,0,-1,"4,5,6,7"
ar_l8_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,27.91108715990016,30.727393017959027,2.8163058580588687,tp_all_reduce,8,1,-1,1,-1,"20,21,22,23"
ar_l9_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,31.331458105486874,34.148478047517756,2.817019942030881,tp_all_reduce,9,1,-1,1,-1,"20,21,22,23"
ar_l10_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,34.77984502761342,37.59812015409902,2.818275126485602,tp_all_reduce,10,1,-1,1,-1,"20,21,22,23"
ar_l11_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,38.20679970565206,41.02421979174464,2.8174200860925853,tp_all_reduce,11,1,-1,1,-1,"20,21,22,23"
ar_l12_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,41.57561155954138,44.38839257623028,2.8127810166889007,tp_all_reduce,12,1,-1,1,-1,"20,21,22,23"
ar_l13_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,44.74520042758738,47.56171658480532,2.816516157217945,tp_all_reduce,13,1,-1,1,-1,"20,21,22,23"
ar_l14_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,48.07713917659419,50.89273813699828,2.815598960404092,tp_all_reduce,14,1,-1,1,-1,"20,21,22,23"
ar_l15_tp20_21_22_23,20,-1,100663296,100.663296,all_reduce,51.51026677020997,54.32447442349225,2.8142076532822817,tp_all_reduce,15,1,-1,1,-1,"20,21,22,23"
ar_l8_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,27.91108715990016,30.72720332874165,2.8161161688414897,tp_all_reduce,8,1,-1,2,-1,"36,37,38,39"
ar_l9_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,31.287546116276147,34.10194512234773,2.814399006071583,tp_all_reduce,9,1,-1,2,-1,"36,37,38,39"
ar_l10_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,34.73698014003818,37.55251372321563,2.8155335831774595,tp_all_reduce,10,1,-1,2,-1,"36,37,38,39"
ar_l11_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,38.02072803122021,40.83354965522671,2.8128216240064994,tp_all_reduce,11,1,-1,2,-1,"36,37,38,39"
ar_l12_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,41.343816760875114,44.15709916995532,2.813282409080214,tp_all_reduce,12,1,-1,2,-1,"36,37,38,39"
ar_l13_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,44.50266194255846,47.31830645299621,2.8156445104377466,tp_all_reduce,13,1,-1,2,-1,"36,37,38,39"
ar_l14_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,47.65141711865009,50.46515830392117,2.813741185271085,tp_all_reduce,14,1,-1,2,-1,"36,37,38,39"
ar_l15_tp36_37_38_39,36,-1,100663296,100.663296,all_reduce,50.83131466228448,53.649768583130005,2.8184539208455233,tp_all_reduce,15,1,-1,2,-1,"36,37,38,39"
ar_l8_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,27.91108715990016,30.729195916592154,2.8181087566919936,tp_all_reduce,8,1,-1,3,-1,"52,53,54,55"
ar_l9_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,31.345012757561644,34.16234511233531,2.8173323547736677,tp_all_reduce,9,1,-1,3,-1,"52,53,54,55"
ar_l10_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,34.62543477740305,37.44384295831271,2.818408180909657,tp_all_reduce,10,1,-1,3,-1,"52,53,54,55"
ar_l11_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,37.91804714618447,40.73512312291801,2.8170759767335434,tp_all_reduce,11,1,-1,3,-1,"52,53,54,55"
ar_l12_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,41.19182252424316,44.008944924754815,2.817122400511657,tp_all_reduce,12,1,-1,3,-1,"52,53,54,55"
ar_l13_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,44.461044035493615,47.27487503088509,2.8138309953914806,tp_all_reduce,13,1,-1,3,-1,"52,53,54,55"
ar_l14_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,47.76547348373987,50.579869408038384,2.814395924298517,tp_all_reduce,14,1,-1,3,-1,"52,53,54,55"
ar_l15_tp52_53_54_55,52,-1,100663296,100.663296,all_reduce,51.14902298064932,53.9662768118679,2.817253831218579,tp_all_reduce,15,1,-1,3,-1,"52,53,54,55"
p2p_fwd_mb0_s1_dp0,4,8,67108864,67.108864,p2p,54.720323841624015,55.9728955463991,1.2525717047750864,pp_forward,1,1,2,0,0,"4,8"
p2p_fwd_mb0_s1_dp1,20,24,67108864,67.108864,p2p,54.720323841624015,55.9728955463991,1.2525717047750864,pp_forward,1,1,2,1,1,"20,24"
p2p_fwd_mb0_s1_dp2,36,40,67108864,67.108864,p2p,54.720323841624015,55.9728955463991,1.2525717047750864,pp_forward,1,1,2,2,2,"36,40"
p2p_fwd_mb0_s1_dp3,52,56,67108864,67.108864,p2p,54.720323841624015,55.9728955463991,1.2525717047750864,pp_forward,1,1,2,3,3,"52,56"
ar_l16_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,55.9728955463991,58.78689639168715,2.814000845288052,tp_all_reduce,16,2,-1,0,-1,"8,9,10,11"
ar_l17_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,59.38814019471256,62.20504083623789,2.81690064152533,tp_all_reduce,17,2,-1,0,-1,"8,9,10,11"
ar_l18_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,62.798469086878434,65.61325959791564,2.8147905110372102,tp_all_reduce,18,2,-1,0,-1,"8,9,10,11"
ar_l19_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,66.18168563824852,68.99489763234658,2.81321199409805,tp_all_reduce,19,2,-1,0,-1,"8,9,10,11"
ar_l20_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,69.54692059398307,72.36319206589944,2.816271471916376,tp_all_reduce,20,2,-1,0,-1,"8,9,10,11"
ar_l21_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,72.83069061447735,75.64659739712123,2.8159067826438733,tp_all_reduce,21,2,-1,0,-1,"8,9,10,11"
ar_l22_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,76.22980860426595,79.04616141911075,2.816352814844797,tp_all_reduce,22,2,-1,0,-1,"8,9,10,11"
ar_l23_tp8_9_10_11,8,-1,100663296,100.663296,all_reduce,79.50067530621321,82.31409328996726,2.813417983754049,tp_all_reduce,23,2,-1,0,-1,"8,9,10,11"
ar_l16_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,55.9728955463991,58.78569877363219,2.812803227233089,tp_all_reduce,16,2,-1,1,-1,"24,25,26,27"
ar_l17_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,59.40873454812236,62.222802477137684,2.8140679290153265,tp_all_reduce,17,2,-1,1,-1,"24,25,26,27"
ar_l18_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,62.7976142998128,65.61338874734625,2.815774447533448,tp_all_reduce,18,2,-1,1,-1,"24,25,26,27"
ar_l19_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,66.06915833063822,68.88707713250179,2.817918801863578,tp_all_reduce,19,2,-1,1,-1,"24,25,26,27"
ar_l20_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,69.24773766542833,72.06072391945538,2.8129862540270527,tp_all_reduce,20,2,-1,1,-1,"24,25,26,27"
ar_l21_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,72.55096588304441,75.36678913563412,2.8158232525897082,tp_all_reduce,21,2,-1,1,-1,"24,25,26,27"
ar_l22_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,75.89205530895985,78.70691247510479,2.814857166144935,tp_all_reduce,22,2,-1,1,-1,"24,25,26,27"
ar_l23_tp24_25_26_27,24,-1,100663296,100.663296,all_reduce,79.16464701791354,81.97797604565133,2.8133290277378014,tp_all_reduce,23,2,-1,1,-1,"24,25,26,27"
ar_l16_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,55.9728955463991,58.78909989032516,2.816204343926057,tp_all_reduce,16,2,-1,2,-1,"40,41,42,43"
ar_l17_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,59.27981522590015,62.09771367455477,2.8178984486546126,tp_all_reduce,17,2,-1,2,-1,"40,41,42,43"
ar_l18_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,62.638616096674106,65.45534233798072,2.816726241306619,tp_all_reduce,18,2,-1,2,-1,"40,41,42,43"
ar_l19_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,66.06247630343415,68.8771240825945,2.8146477791603646,tp_all_reduce,19,2,-1,2,-1,"40,41,42,43"
ar_l20_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,69.44748182929224,72.26250324159257,2.8150214123003336,tp_all_reduce,20,2,-1,2,-1,"40,41,42,43"
ar_l21_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,72.92295965419473,75.7407807375047,2.817821083309982,tp_all_reduce,21,2,-1,2,-1,"40,41,42,43"
ar_l22_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,76.33068944260805,79.14656655709263,2.815877114484583,tp_all_reduce,22,2,-1,2,-1,"40,41,42,43"
ar_l23_tp40_41_42_43,40,-1,100663296,100.663296,all_reduce,79.80449667198634,82.62233098714687,2.817834315160528,tp_all_reduce,23,2,-1,2,-1,"40,41,42,43"
ar_l16_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,55.9728955463991,58.78616559573252,2.813270049333419,tp_all_reduce,16,2,-1,3,-1,"56,57,58,59"
ar_l17_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,59.22639872052873,62.04446349977367,2.8180647792449416,tp_all_reduce,17,2,-1,3,-1,"56,57,58,59"
ar_l18_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,62.545717586808266,65.35843263470727,2.8127150478989975,tp_all_reduce,18,2,-1,3,-1,"56,57,58,59"
ar_l19_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,65.88900592454941,68.70194243677729,2.812936512227873,tp_all_reduce,19,2,-1,3,-1,"56,57,58,59"
ar_l20_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,69.07144560540038,71.88410082380031,2.812655218399934,tp_all_reduce,20,2,-1,3,-1,"56,57,58,59"
ar_l21_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,72.52517807096504,75.33791769611742,2.812739625152383,tp_all_reduce,21,2,-1,3,-1,"56,57,58,59"
ar_l22_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,75.82606278923762,78.64320879374685,2.8171460045092327,tp_all_reduce,22,2,-1,3,-1,"56,57,58,59"
ar_l23_tp56_57_58_59,56,-1,100663296,100.663296,all_reduce,79.08108524372591,81.89593067043897,2.814845426713064,tp_all_reduce,23,2,-1,3,-1,"56,57,58,59"
p2p_fwd_mb0_s2_dp0,8,12,67108864,67.108864,p2p,82.99697727491034,84.24717582739422,1.250198552483886,pp_forward,2,2,3,0,0,"8,12"
p2p_fwd_mb0_s2_dp1,24,28,67108864,67.108864,p2p,82.99697727491034,84.24717582739422,1.250198552483886,pp_forward,2,2,3,1,1,"24,28"
p2p_fwd_mb0_s2_dp2,40,44,67108864,67.108864,p2p,82.99697727491034,84.24717582739422,1.250198552483886,pp_forward,2,2,3,2,2,"40,44"
p2p_fwd_mb0_s2_dp3,56,60,67108864,67.108864,p2p,82.99697727491034,84.24717582739422,1.250198552483886,pp_forward,2,2,3,3,3,"56,60"
ar_l24_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,84.24717582739422,87.063616717507,2.8164408901127924,tp_all_reduce,24,3,-1,0,-1,"12,13,14,15"
ar_l25_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,87.54591530030642,90.36165454603888,2.81573924573246,tp_all_reduce,25,3,-1,0,-1,"12,13,14,15"
ar_l26_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,90.98490085475007,93.801143610103,2.8162427553529294,tp_all_reduce,26,3,-1,0,-1,"12,13,14,15"
ar_l27_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,94.44097986885046,97.25383290563914,2.8128530367886873,tp_all_reduce,27,3,-1,0,-1,"12,13,14,15"
ar_l28_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,97.85147078188236,100.6699777358014,2.8185069539190395,tp_all_reduce,28,3,-1,0,-1,"12,13,14,15"
ar_l29_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,101.23040331827394,104.04390354973276,2.813500231458821,tp_all_reduce,29,3,-1,0,-1,"12,13,14,15"
ar_l30_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,104.69851635491622,107.5160321537509,2.8175157988346715,tp_all_reduce,30,3,-1,0,-1,"12,13,14,15"
ar_l31_tp12_13_14_15,12,-1,100663296,100.663296,all_reduce,108.11808787874034,110.9342819073067,2.816194028566352,tp_all_reduce,31,3,-1,0,-1,"12,13,14,15"
ar_l24_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,84.24717582739422,87.06265938741774,2.8154835600235213,tp_all_reduce,24,3,-1,1,-1,"28,29,30,31"
ar_l25_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,87.53337587934347,90.34766459698403,2.814288717640556,tp_all_reduce,25,3,-1,1,-1,"28,29,30,31"
ar_l26_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,90.9069327042837,93.7252604838306,2.818327779546881,tp_all_reduce,26,3,-1,1,-1,"28,29,30,31"
ar_l27_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,94.27714262507169,97.09005306352067,2.8129104384489736,tp_all_reduce,27,3,-1,1,-1,"28,29,30,31"
ar_l28_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,97.7487624326133,100.56668935013427,2.8179269175209605,tp_all_reduce,28,3,-1,1,-1,"28,29,30,31"
ar_l29_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,101.04451787883406,103.86261844966212,2.8181005708280553,tp_all_reduce,29,3,-1,1,-1,"28,29,30,31"
ar_l30_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,104.37895314532797,107.19714451992336,2.818191374595394,tp_all_reduce,30,3,-1,1,-1,"28,29,30,31"
ar_l31_tp28_29_30_31,28,-1,100663296,100.663296,all_reduce,107.62459624855207,110.44237937479089,2.8177831262388153,tp_all_reduce,31,3,-1,1,-1,"28,29,30,31"
ar_l24_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,84.24717582739422,87.06546168930844,2.8182858619142244,tp_all_reduce,24,3,-1,2,-1,"44,45,46,47"
ar_l25_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,87.65707348101378,90.47542251037235,2.818349029358569,tp_all_reduce,25,3,-1,2,-1,"44,45,46,47"
ar_l26_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,91.00866379383564,93.82239327704481,2.813729483209168,tp_all_reduce,26,3,-1,2,-1,"44,45,46,47"
ar_l27_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,94.38540447856276,97.20208669210356,2.816682213540797,tp_all_reduce,27,3,-1,2,-1,"44,45,46,47"
ar_l28_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,97.56472785496189,100.37788703859616,2.81315918363427,tp_all_reduce,28,3,-1,2,-1,"44,45,46,47"
ar_l29_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,100.92517672882404,103.74002396440183,2.814847235577775,tp_all_reduce,29,3,-1,2,-1,"44,45,46,47"
ar_l30_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,104.1904158474345,107.00396492281833,2.8135490753838366,tp_all_reduce,30,3,-1,2,-1,"44,45,46,47"
ar_l31_tp44_45_46_47,44,-1,100663296,100.663296,all_reduce,107.42433005598612,110.2419925969848,2.817662540998689,tp_all_reduce,31,3,-1,2,-1,"44,45,46,47"
ar_l24_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,84.24717582739422,87.06109123416383,2.8139154067696044,tp_all_reduce,24,3,-1,3,-1,"60,61,62,63"
ar_l25_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,87.6497418346787,90.46682055672034,2.817078722041649,tp_all_reduce,25,3,-1,3,-1,"60,61,62,63"
ar_l26_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,91.06576724743049,93.87930568234893,2.813538434918439,tp_all_reduce,26,3,-1,3,-1,"60,61,62,63"
ar_l27_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,94.39030027546576,97.20879952366316,2.818499248197395,tp_all_reduce,27,3,-1,3,-1,"60,61,62,63"
ar_l28_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,97.81786306144197,100.63625572968193,2.8183926682399663,tp_all_reduce,28,3,-1,3,-1,"60,61,62,63"
ar_l29_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,101.21521315022407,104.03300933101093,2.817796180786869,tp_all_reduce,29,3,-1,3,-1,"60,61,62,63"
ar_l30_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,104.67782326731422,107.49303496113592,2.8152116938216927,tp_all_reduce,30,3,-1,3,-1,"60,61,62,63"
ar_l31_tp60_61_62_63,60,-1,100663296,100.663296,all_reduce,107.94175520618592,110.75758031668337,2.8158251104974523,tp_all_reduce,31,3,-1,3,-1,"60,61,62,63"
ar_l0_tp0_1_2_3,0,-1,100663296,100.663296,all_reduce,27.97741163835288,30.79335076713108,2.8159391287782,tp_all_reduce,0,0,-1,0,-1,"0,1,2,3"
ar_l1_tp0_1_2_3,0,-1,100663296,100.663296,all_reduce,31.330544931504306,34.14619765822659,2.8156527267222815,tp_all_reduce,1,0,-1,0,-1,"0,1,2,3"
ar_l2_tp0_1_2_3,0,-1,100663296,100.663296,all_reduce,34.620166676429896,37.433060514952366,2.8128938385224704,tp_all_reduce,2,0,-1,0,-1,"0,1,2,3"
ar_l3_tp0_1_2_3,0,-1,100663296,100.663296,all_reduce,38.078076974265,40.89358734484973,2.8155103705847226,tp_all_reduce,3,0,-1,0,-1,"0,1,2,3"
