event_id,rank,compute_type,start_time_ms,end_time_ms,duration_ms,layer_id,flop_count,tflops,memory_accessed_bytes,pipeline_stage,dp_group,tp_rank
fwd_l5_r2,2,forward,16.75061493331412,19.929554118064644,3.1789391847505226,5,412316860416,0.412316860416,335544320,0,0,2
fwd_l5_r3,3,forward,16.75061493331412,19.929554118064644,3.1789391847505226,5,412316860416,0.412316860416,335544320,0,0,3
fwd_l6_r0,0,forward,19.929554118064644,23.13976162827438,3.2102075102097354,6,412316860416,0.412316860416,335544320,0,0,0
fwd_l6_r1,1,forward,19.929554118064644,23.13976162827438,3.2102075102097354,6,412316860416,0.412316860416,335544320,0,0,1
fwd_l6_r2,2,forward,19.929554118064644,23.13976162827438,3.2102075102097354,6,412316860416,0.412316860416,335544320,0,0,2
fwd_l6_r3,3,forward,19.929554118064644,23.13976162827438,3.2102075102097354,6,412316860416,0.412316860416,335544320,0,0,3
fwd_l7_r0,0,forward,23.13976162827438,26.561044767602322,3.4212831393279424,7,412316860416,0.412316860416,335544320,0,0,0
fwd_l7_r1,1,forward,23.13976162827438,26.561044767602322,3.4212831393279424,7,412316860416,0.412316860416,335544320,0,0,1
fwd_l7_r2,2,forward,23.13976162827438,26.561044767602322,3.4212831393279424,7,412316860416,0.412316860416,335544320,0,0,2
fwd_l7_r3,3,forward,23.13976162827438,26.561044767602322,3.4212831393279424,7,412316860416,0.412316860416,335544320,0,0,3
embed_fwd_l-1_r16,16,embedding,0.0,0.06559015173364414,0.06559015173364414,-1,33554432,3.3554432e-05,136478720,0,1,0
embed_fwd_l-1_r17,17,embedding,0.0,0.06559015173364414,0.06559015173364414,-1,33554432,3.3554432e-05,136478720,0,1,1
embed_fwd_l-1_r18,18,embedding,0.0,0.06559015173364414,0.06559015173364414,-1,33554432,3.3554432e-05,136478720,0,1,2
embed_fwd_l-1_r19,19,embedding,0.0,0.06559015173364414,0.06559015173364414,-1,33554432,3.3554432e-05,136478720,0,1,3
fwd_l0_r16,16,forward,0.06559015173364414,3.2578041469361123,3.1922139952024677,0,412316860416,0.412316860416,335544320,0,1,0
fwd_l0_r17,17,forward,0.06559015173364414,3.2578041469361123,3.1922139952024677,0,412316860416,0.412316860416,335544320,0,1,1
fwd_l0_r18,18,forward,0.06559015173364414,3.2578041469361123,3.1922139952024677,0,412316860416,0.412316860416,335544320,0,1,2
fwd_l0_r19,19,forward,0.06559015173364414,3.2578041469361123,3.1922139952024677,0,412316860416,0.412316860416,335544320,0,1,3
fwd_l1_r16,16,forward,3.2578041469361123,6.405872830751588,3.148068683815476,1,412316860416,0.412316860416,335544320,0,1,0
fwd_l1_r17,17,forward,3.2578041469361123,6.405872830751588,3.148068683815476,1,412316860416,0.412316860416,335544320,0,1,1
fwd_l1_r18,18,forward,3.2578041469361123,6.405872830751588,3.148068683815476,1,412316860416,0.412316860416,335544320,0,1,2
fwd_l1_r19,19,forward,3.2578041469361123,6.405872830751588,3.148068683815476,1,412316860416,0.412316860416,335544320,0,1,3
fwd_l2_r16,16,forward,6.405872830751588,9.667092461376622,3.261219630625035,2,412316860416,0.412316860416,335544320,0,1,0
fwd_l2_r17,17,forward,6.405872830751588,9.667092461376622,3.261219630625035,2,412316860416,0.412316860416,335544320,0,1,1
fwd_l2_r18,18,forward,6.405872830751588,9.667092461376622,3.261219630625035,2,412316860416,0.412316860416,335544320,0,1,2
fwd_l2_r19,19,forward,6.405872830751588,9.667092461376622,3.261219630625035,2,412316860416,0.412316860416,335544320,0,1,3
fwd_l3_r16,16,forward,9.667092461376622,13.067983746211535,3.400891284834912,3,412316860416,0.412316860416,335544320,0,1,0
fwd_l3_r17,17,forward,9.667092461376622,13.067983746211535,3.400891284834912,3,412316860416,0.412316860416,335544320,0,1,1
fwd_l3_r18,18,forward,9.667092461376622,13.067983746211535,3.400891284834912,3,412316860416,0.412316860416,335544320,0,1,2
fwd_l3_r19,19,forward,9.667092461376622,13.067983746211535,3.400891284834912,3,412316860416,0.412316860416,335544320,0,1,3
fwd_l4_r16,16,forward,13.067983746211535,16.30058870341398,3.2326049572024425,4,412316860416,0.412316860416,335544320,0,1,0
fwd_l4_r17,17,forward,13.067983746211535,16.30058870341398,3.2326049572024425,4,412316860416,0.412316860416,335544320,0,1,1
fwd_l4_r18,18,forward,13.067983746211535,16.30058870341398,3.2326049572024425,4,412316860416,0.412316860416,335544320,0,1,2
fwd_l4_r19,19,forward,13.067983746211535,16.30058870341398,3.2326049572024425,4,412316860416,0.412316860416,335544320,0,1,3
fwd_l5_r16,16,forward,16.30058870341398,19.47928119622711,3.178692492813131,5,412316860416,0.412316860416,335544320,0,1,0
fwd_l5_r17,17,forward,16.30058870341398,19.47928119622711,3.178692492813131,5,412316860416,0.412316860416,335544320,0,1,1
fwd_l5_r18,18,forward,16.30058870341398,19.47928119622711,3.178692492813131,5,412316860416,0.412316860416,335544320,0,1,2
fwd_l5_r19,19,forward,16.30058870341398,19.47928119622711,3.178692492813131,5,412316860416,0.412316860416,335544320,0,1,3
fwd_l6_r16,16,forward,19.47928119622711,22.945888620366762,3.466607424139654,6,412316860416,0.412316860416,335544320,0,1,0
fwd_l6_r17,17,forward,19.47928119622711,22.945888620366762,3.466607424139654,6,412316860416,0.412316860416,335544320,0,1,1
fwd_l6_r18,18,forward,19.47928119622711,22.945888620366762,3.466607424139654,6,412316860416,0.412316860416,335544320,0,1,2
fwd_l6_r19,19,forward,19.47928119622711,22.945888620366762,3.466607424139654,6,412316860416,0.412316860416,335544320,0,1,3
